"","line","from","to","x","capacity","flow","absflow","overloaded"
"1",1,1,2,0.124439675267786,5,-0.720804800448705,0.720804800448705,FALSE
"2",2,1,7,0.0587649630848318,5,0.720804800448697,0.720804800448697,FALSE
"3",3,2,3,0.191936803655699,5,0.508156582620661,0.508156582620661,FALSE
"4",4,3,4,0.181538079306483,5,1.5866074682417,1.5866074682417,FALSE
"5",5,3,5,0.0999711446464062,5,2.20237359629805,2.20237359629805,FALSE
"6",6,3,10,0.110010966612026,5,-1.27398019972132,1.27398019972132,FALSE
"7",7,3,53,0.166973325191066,5,1.17049573853023,1.17049573853023,FALSE
"8",8,3,62,0.116693428670987,5,-3.17734002072799,3.17734002072799,FALSE
"9",9,4,5,0.174402392748743,5,-0.389076445383067,0.389076445383067,FALSE
"10",10,4,20,0.159165710862726,5,1.75679605597229,1.75679605597229,FALSE
"11",11,4,53,0.225959146022797,5,-0.409755960062864,0.409755960062864,FALSE
"12",12,5,54,0.191374948155135,5,0.714042219297591,0.714042219297591,FALSE
"13",13,6,15,0.196394518902525,5,-0.27242537375439,0.27242537375439,FALSE
"14",14,6,58,0.236326885595918,5,-0.743697652091957,0.743697652091957,FALSE
"15",15,6,59,0.141024118894711,5,1.01612302584635,1.01612302584635,FALSE
"16",16,7,8,0.168063945835456,5,-1.58765687093335,1.58765687093335,FALSE
"17",17,7,15,0.214087218977511,5,0.409040201626557,0.409040201626557,FALSE
"18",18,7,17,0.0948236960917711,5,1.17379207663712,1.17379207663712,FALSE
"19",19,8,9,0.132333365874365,5,-0.611462444113935,0.611462444113935,FALSE
"20",20,8,14,0.0577221121639013,5,-0.216243692280497,0.216243692280497,FALSE
"21",21,8,27,0.19014230906032,5,-0.294984167356698,0.294984167356698,FALSE
"22",22,8,60,0.241367492312565,5,-0.0980830193679285,0.0980830193679285,FALSE
"23",23,8,61,0.0926704003941268,5,-0.366883547814295,0.366883547814295,FALSE
"24",24,9,12,0.182212300039828,5,0.0318911819417797,0.0318911819417797,FALSE
"25",25,9,32,0.23466377640143,5,0.213528959379409,0.213528959379409,FALSE
"26",26,9,55,0.209143952280283,5,-2.11480899780726,2.11480899780726,FALSE
"27",27,9,60,0.0642425108700991,5,0.891042864557839,0.891042864557839,FALSE
"28",28,9,61,0.127881553536281,5,0.366883547814295,0.366883547814295,FALSE
"29",29,10,12,0.131290243240073,5,-1.27398019972132,1.27398019972132,FALSE
"30",30,11,12,0.181871015625075,5,-0.108162226129486,0.108162226129486,FALSE
"31",31,11,52,0.134669429343194,5,1.50723586029583,1.50723586029583,FALSE
"32",32,11,57,0.114196889242157,5,-1.39907363416635,1.39907363416635,FALSE
"33",33,12,13,0.0895461466629058,5,-1.39060286580994,1.39060286580994,FALSE
"34",34,12,62,0.0826340188737959,5,-0.766775456591224,0.766775456591224,FALSE
"35",35,12,80,0.154662215011194,5,-7.17837271724577e-16,7.17837271724577e-16,FALSE
"36",36,13,55,0.232695730403066,5,-1.39060286580994,1.39060286580994,FALSE
"37",37,14,16,0.0913545438088477,5,-0.839982084370674,0.839982084370674,FALSE
"38",38,14,18,0.212856603227556,5,-0.558604780713734,0.558604780713734,FALSE
"39",39,15,17,0.0540334396529943,5,0.43922844975542,0.43922844975542,FALSE
"40",40,15,18,0.234960882691666,5,-2.06750549641701,2.06750549641701,FALSE
"41",41,16,56,0.136992349196225,5,-0.839982084370675,0.839982084370675,FALSE
"42",42,17,58,0.138410936947912,5,-1.05472823811048,1.05472823811048,FALSE
"43",43,18,58,0.202137891063467,5,1.79842589020244,1.79842589020244,FALSE
"44",44,19,29,0.116592260077596,5,-4.8359596690119e-05,4.8359596690119e-05,FALSE
"45",45,19,59,0.128871430363506,5,-1.01612302584635,1.01612302584635,FALSE
"46",46,20,21,0.0966588565614074,5,1.75679605597229,1.75679605597229,FALSE
"47",47,21,22,0.0643215315882117,5,0.2681227889441,0.2681227889441,FALSE
"48",48,21,23,0.232676697149873,5,-1.51132673297181,1.51132673297181,FALSE
"49",49,22,25,0.204338714620099,5,-0.981208726210696,0.981208726210696,FALSE
"50",50,23,24,0.0715073279570788,5,1.45149409766495,1.45149409766495,FALSE
"51",51,24,25,0.0658424501307309,5,0.981208726210696,0.981208726210696,FALSE
"52",52,24,26,0.136777889495716,5,0,0,FALSE
"53",53,24,54,0.185954849375412,5,-0.71404221929759,0.71404221929759,FALSE
"54",54,24,63,0.196871248120442,5,-5.6393355313415e-16,5.6393355313415e-16,FALSE
"55",55,24,64,0.140502174803987,5,-3.9509104616139e-16,3.9509104616139e-16,FALSE
"56",56,26,63,0.206757143139839,5,-5.36969609738834e-16,5.36969609738834e-16,FALSE
"57",57,26,65,0.185967107396573,5,-5.96999673849644e-16,5.96999673849644e-16,FALSE
"58",58,27,28,0.153740730229765,5,-0.294984167356699,0.294984167356699,FALSE
"59",59,28,66,0.188161150831729,5,-0.294984167356698,0.294984167356698,FALSE
"60",60,29,67,0.167655130056664,5,-1.07785604534193,1.07785604534193,FALSE
"61",61,29,68,0.212917933613062,5,-2.60716184349877e-16,2.60716184349877e-16,FALSE
"62",62,30,31,0.212008989183232,5,-0.742847074014787,0.742847074014787,FALSE
"63",63,30,69,0.171987180458382,5,0.117834481478034,0.117834481478034,FALSE
"64",64,30,70,0.248681928683072,5,1.28633151443929,1.28633151443929,FALSE
"65",65,31,33,0.218648108560592,5,-0.181211196080033,0.181211196080033,FALSE
"66",66,31,55,0.193100680597126,5,-1.49703984304776,1.49703984304776,FALSE
"67",67,31,71,0.0538162377197295,5,0.935403965113,0.935403965113,FALSE
"68",68,32,35,0.111016050260514,5,-0.117834481478036,0.117834481478036,FALSE
"69",69,32,38,0.226589596876875,5,-0.177145560486004,0.177145560486004,FALSE
"70",70,32,66,0.238269363250583,5,-0.529380862662882,0.529380862662882,FALSE
"71",71,32,72,0.0968836019746959,5,-0.75851659469392,0.75851659469392,FALSE
"72",72,33,34,0.237333165667951,5,-0.163297971052061,0.163297971052061,FALSE
"73",73,33,71,0.163340395363048,5,0.550760313904276,0.550760313904276,FALSE
"74",74,33,73,0.218558080634102,5,0.450376589107626,0.450376589107626,FALSE
"75",75,34,37,0.214260235941038,5,-0.990085763293784,0.990085763293784,FALSE
"76",76,35,69,0.105994570860639,5,-0.117834481478033,0.117834481478033,FALSE
"77",77,35,74,0.059460227470845,5,-9.33584575647251e-16,9.33584575647251e-16,FALSE
"78",78,36,74,0.0949881255161017,5,0,0,FALSE
"79",79,37,75,0.18461852944456,5,-0.990085763293785,0.990085763293785,FALSE
"80",80,37,76,0.241786171682179,5,9.18351133897362e-16,9.18351133897362e-16,FALSE
"81",81,38,40,0.187051994260401,5,-0.0145973947781332,0.0145973947781332,FALSE
"82",82,38,72,0.205160596966743,5,-0.162548165707871,0.162548165707871,FALSE
"83",83,39,40,0.205167697835714,5,-0.573783526111321,0.573783526111321,FALSE
"84",84,39,41,0.24655895982869,5,-0.450376589107628,0.450376589107628,FALSE
"85",85,40,72,0.0520377289969474,5,-0.588380920889455,0.588380920889455,FALSE
"86",86,41,73,0.240517170215026,5,-0.450376589107627,0.450376589107627,FALSE
"87",87,42,43,0.114587172446772,5,-0.0792356824138753,0.0792356824138753,FALSE
"88",88,42,44,0.13560106898658,5,-1.10785011928695,1.10785011928695,FALSE
"89",89,42,48,0.0768993382807821,5,0.128226544766386,0.128226544766386,FALSE
"90",90,42,50,0.0536656625568867,5,0.332943451882259,0.332943451882259,FALSE
"91",91,43,44,0.181299900496379,5,-0.77852369064231,0.77852369064231,FALSE
"92",92,44,45,0.232946667214856,5,0.865178278073771,0.865178278073771,FALSE
"93",93,44,77,0.193059970345348,5,-3.76962649270299,3.76962649270299,FALSE
"94",94,45,47,0.0865902894176543,5,0.865178278073771,0.865178278073771,FALSE
"95",95,46,52,0.0980136343743652,5,-0.193672976563996,0.193672976563996,FALSE
"96",96,46,78,0.21728981602937,5,-1.6592480125146,1.6592480125146,FALSE
"97",97,46,79,0.127174691250548,5,0.948135041606861,0.948135041606861,FALSE
"98",98,47,53,0.096514760889113,5,1.22164059819959,1.22164059819959,FALSE
"99",99,47,79,0.0637841280549765,5,-0.356462320125819,0.356462320125819,FALSE
"100",100,48,50,0.0624449057038873,5,0.128226544766386,0.128226544766386,FALSE
"101",101,49,51,0.075003874860704,5,-0.832528103755725,0.832528103755725,FALSE
"102",102,50,52,0.0546653382480145,5,-0.986637437300875,0.986637437300875,FALSE
"103",103,50,79,0.128372255247086,5,0.667017215599267,0.667017215599267,FALSE
"104",104,51,52,0.221919713355601,5,0.484893643188351,0.484893643188351,FALSE
"105",105,51,57,0.193666904559359,5,-1.31742174694408,1.31742174694408,FALSE
"106",106,52,70,0.117879005521536,5,0.81181908961931,0.81181908961931,FALSE
"107",107,56,72,0.0662442854605615,5,1.50944568129125,1.50944568129125,FALSE
